Capital Gain / Loss – Scheme level,,,,,,,,,
Scheme Name,Count,Outflow Amount,Net Value,Grandfathered NAV,Grandfathered Value,Short Term Gain,Long Term Gain With Index,Long Term Gain Without Index,
LIC MF Banking and PSU Fund - Regular Plan-Growth INF767K01535,1,"25,046.03","14,351.98",21.5172,0.00,0.00,0.00,"10,694.05",
Total,,"25,046.03","14,351.98",,0.00,0.00,0.00,"10,694.05",
,,,,,,,,,
Section A : Subscriptions,,,,,,,,,
Trxn. Type,Date,Current Units,Source Scheme Units,Original Purchase Cost,**Original Purchase Amount,Grandfathered Nav as on 31/01/2018,GrandFathered Cost Value,IT Applicable NAV,IT Applicable Cost Value
Purchase,08-12-2015,771.454,771.454,18.6038,"14,351.98",18.6038,"14,351.98",18.6038,"14,351.98"
Total :,,771.454,,,"14,351.98",,"14,351.98",,"14,351.98"
,,,,,,,,,
Section B : Redemptions,,,,,,,,,
IT Applicable NAV,IT Applicable Cost Value,Trxn. Type,Date,Units,Amount,Price,Tax Perc,Total Tax,
18.6038,"14,351.98",Redemption,26-08-2024,771.454,"25,046.03",32.4660,0.00,0.00,
,"14,351.98",,,771.454,"25,046.03",,,0.00,
,,,,,,,,,
Section C : Gains / Losses,,,,,,,,,
Tax Perc,Total Tax,Short Term,Indexed Cost,Long Term With Index,Long Term Without Index,,,,
0.00,0.00,0.00,0.00,0.00,"10,694.05",,,,
,0.00,0.00,,0.00,"10,694.05",,,,
,,,,,,,,,
